parcel_id,vacancy_class,source_signal
00-0000-4338,vacant,improvement_value_zero_or_null
00-0000-4346,developed,improvement_value_ge_20pct_land_value
00-0000-4353,vacant,improvement_value_zero_or_null
00-0000-4361,vacant,improvement_value_zero_or_null
00-0000-4379,vacant,improvement_value_zero_or_null
00-0000-4387,vacant,improvement_value_zero_or_null
00-0000-4395,vacant,improvement_value_zero_or_null
00-0000-4403,vacant,improvement_value_zero_or_null
00-0000-4411,vacant,improvement_value_zero_or_null
00-0000-4429,vacant,improvement_value_zero_or_null
00-0000-4437,vacant,improvement_value_zero_or_null
00-0000-4445,vacant,improvement_value_zero_or_null
00-0000-4452,vacant,improvement_value_zero_or_null
00-0000-4460,vacant,improvement_value_zero_or_null
00-0000-4478,vacant,improvement_value_zero_or_null
00-0000-4486,vacant,improvement_value_zero_or_null
00-0000-4494,vacant,improvement_value_zero_or_null
00-0000-4502,vacant,improvement_value_zero_or_null
00-0000-4510,vacant,improvement_value_zero_or_null
00-0000-4528,vacant,improvement_value_zero_or_null
00-0000-4536,vacant,improvement_value_zero_or_null
00-0000-4544,vacant,improvement_value_zero_or_null
00-0000-4551,vacant,improvement_value_zero_or_null
00-0000-4569,vacant,improvement_value_zero_or_null
00-0000-4577,vacant,improvement_value_zero_or_null
00-0000-4585,vacant,improvement_value_zero_or_null
00-0000-4593,vacant,improvement_value_zero_or_null
00-0000-4601,vacant,improvement_value_zero_or_null
00-0000-4627,developed,improvement_value_ge_20pct_land_value
00-0000-4635,vacant,land_use_field
00-0000-4676,vacant,improvement_value_zero_or_null
00-0000-4684,vacant,improvement_value_zero_or_null
00-0000-4692,vacant,improvement_value_zero_or_null
00-0000-4700,vacant,improvement_value_zero_or_null
00-0000-4718,vacant,improvement_value_zero_or_null
00-0000-4726,vacant,improvement_value_zero_or_null
00-0000-4734,vacant,improvement_value_zero_or_null
00-0000-4742,vacant,improvement_value_zero_or_null
00-0000-4759,vacant,improvement_value_zero_or_null
00-0000-4767,vacant,improvement_value_zero_or_null
00-0000-4775,developed,improvement_value_ge_20pct_land_value
00-0000-4783,vacant,improvement_value_zero_or_null
00-0000-4791,vacant,improvement_value_zero_or_null
00-0000-4809,vacant,improvement_value_zero_or_null
00-0000-4817,developed,improvement_value_ge_20pct_land_value
00-0000-4825,vacant,improvement_value_zero_or_null
00-0000-4833,vacant,improvement_value_zero_or_null
00-0000-4841,vacant,improvement_value_zero_or_null
00-0000-4858,vacant,improvement_value_zero_or_null
00-0000-4866,vacant,improvement_value_zero_or_null
00-0000-4882,developed,improvement_value_ge_20pct_land_value
00-0000-4890,vacant,improvement_value_zero_or_null
00-0000-4908,vacant,improvement_value_zero_or_null
00-0000-4916,developed,improvement_value_ge_20pct_land_value
00-0000-4924,developed,improvement_value_ge_20pct_land_value
00-0000-4932,vacant,improvement_value_zero_or_null
00-0000-4940,vacant,improvement_value_zero_or_null
00-0000-4957,vacant,improvement_value_zero_or_null
00-0000-4965,vacant,improvement_value_zero_or_null
00-0000-4973,vacant,improvement_value_zero_or_null
00-0000-4981,vacant,improvement_value_zero_or_null
00-0000-4999,vacant,improvement_value_zero_or_null
00-0000-5004,vacant,improvement_value_zero_or_null
00-0000-5012,vacant,improvement_value_zero_or_null
00-0000-5020,vacant,improvement_value_zero_or_null
00-0000-5038,vacant,improvement_value_zero_or_null
00-0000-5046,vacant,improvement_value_zero_or_null
00-0000-5053,vacant,improvement_value_zero_or_null
