parcel_id,centroid_lng,centroid_lat,sampled_zone,extraction_method,color_match_confidence,lab_distance,parcel_city,acreage
26342340020000,-112.044821,40.519209,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2192,3.56,Herriman,
26344040130000,-112.052189,40.515276,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2445,3.09,Herriman,0.17
26274012860000,-112.050972,40.527321,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1031,8.7,Herriman,0.1
26333520060000,-112.079925,40.508801,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0657,14.23,,5.2
26344040140000,-112.052095,40.515046,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2486,3.02,Herriman,0.22
26342340030000,-112.044937,40.519222,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2481,3.03,Herriman,
26274012870000,-112.050818,40.527382,Agricultural Residential (1.8-3.0 du/acre),centroid,0.084,10.9,Herriman,0.1
26333520070000,-112.081251,40.509129,Mixed Use - Towne Center,centroid,0.0671,13.9,,6.88
26344040150000,-112.052074,40.51481,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2434,3.11,Herriman,0.21
26274012880000,-112.050664,40.527444,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1031,8.7,Herriman,0.1
26342340040000,-112.0449,40.51919,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2481,3.03,Herriman,
26333530010000,-112.077861,40.507934,Open Space,centroid,0.0683,13.63,,5
26274012890000,-112.05051,40.527506,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1134,7.82,Herriman,0.1
26342340050000,-112.044864,40.519152,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2192,3.56,Herriman,
26333530020000,-112.076888,40.509036,Mixed Use - Towne Center,centroid,0.0673,13.85,,5.33
26344040160000,-112.051912,40.51527,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2494,3.01,Herriman,0.17
26274012900000,-112.05035,40.527566,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0709,13.1,Herriman,0.11
26342340060000,-112.044832,40.519122,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2219,3.51,Herriman,
26333760010000,-112.075564,40.510688,Mixed Use - Towne Center,centroid,0.07,13.28,,4.93
26274012910000,-112.050187,40.527619,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0892,10.21,Herriman,0.11
26344040170000,-112.051655,40.515267,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2466,3.05,Herriman,0.16
26274012920000,-112.051066,40.526844,Single Family Residential (2.6-4.5 du/acre),centroid,0.109,8.18,Herriman,1.38
26333760020000,-112.073855,40.5111,Mixed Use - Towne Center,centroid,0.0796,11.57,,5
26342340070000,-112.044664,40.519049,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2548,2.92,Herriman,
26333770010000,-112.075149,40.508877,Mixed Use - Towne Center,centroid,0.081,11.35,,5.22
26274012930000,-112.052103,40.526429,Single Family Residential (2.6-4.5 du/acre),centroid,0.1016,8.85,Herriman,0.21
26344040180000,-112.051418,40.515267,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2473,3.04,Herriman,0.14
26333770020000,-112.074093,40.509189,Mixed Use - Towne Center,centroid,0.0737,12.57,,5
26342340080000,-112.044777,40.519066,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2219,3.51,Herriman,
26274012940000,-112.051871,40.526512,Single Family Residential (2.6-4.5 du/acre),centroid,0.0858,10.65,Herriman,0.13
26344040190000,-112.051195,40.515267,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2463,3.06,Herriman,0.14
26333770030000,-112.073104,40.509679,Mixed Use - Towne Center,centroid,0.0662,14.1,,4.94
26274012950000,-112.051701,40.526609,Single Family Residential (2.6-4.5 du/acre),centroid,0.0928,9.77,Herriman,0.16
26342340090000,-112.04475,40.519035,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2219,3.51,Herriman,
26333770040000,-112.072213,40.510464,Mixed Use - Towne Center,centroid,0.0736,12.59,,5.06
26274012960000,-112.051426,40.526756,Single Family Residential (2.6-4.5 du/acre),centroid,0.084,10.9,Herriman,0.15
26344040200000,-112.050975,40.515268,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2472,3.05,Herriman,0.14
26334260050000,-112.064838,40.512115,Military Operation,centroid,0.0421,22.74,Herriman,0.15
26274012970000,-112.051438,40.526581,Single Family Residential (2.6-4.5 du/acre),centroid,0.108,8.26,Herriman,0.1
